SITE,evap_anom,midsoil_anom,topsoil_anom,deepsoil_anom,Mean_cattle_density,s0_trend,sd_trend,ss_trend,e0_trend,c3_c4ratio,AHGF_FPC,Dryag_prop,Irriag_prop,racLdry_trend,EVItrend
1431,0.035631063,-0.272776608,-0.120938094,-0.00901562,13.85475,-0.028652863,-0.439518287,-0.589464205,-0.014722878,0.26568596,0.07762,0.417291506,0.076036653,0.255224139,-0.00120926
1432,0.030528698,-0.296814527,-0.151301962,0.004546107,51.7715,-0.038771486,-0.136752704,-0.558944413,-0.026040245,0.303296882,0.03379,0.509769049,0,-0.079043266,-0.00131314
1433,0.031498204,-0.40547355,-0.20712934,0.004030979,10.3284,-0.07690693,-0.059672458,-0.097170496,-0.019923325,0.272957631,0.01086,0.352554434,0.152193446,-0.193004416,-0.000903233
1434,0.030616692,-0.329896825,-0.200413324,0.004910646,10.46885,-0.074682992,-0.071607946,-0.092374736,-0.020582256,0.255017599,0.00864,0.782403514,0.064066653,-0.371731519,-0.001250181
1435,0.033497953,-0.32712309,-0.171561143,0.007883498,11.4954,-0.064757407,-0.110612022,-0.202141161,-0.018318025,0.257639453,0.02775,0.466379899,0.276049497,-0.569393023,-0.000572081
1436,0.033497953,-0.32712309,-0.171561143,0.007883498,11.4954,-0.064757407,-0.110612022,-0.202141161,-0.018318025,0.26252194,0.02211,0.634425392,0.169861868,-0.254098592,-0.001114622
1437,0.035631063,-0.272776608,-0.120938094,-0.00901562,13.85475,-0.028652863,-0.439518287,-0.589464205,-0.014722878,0.265060083,0.07762,0.417291506,0.076036653,0.29434294,-0.001622485
1438,0.03262977,-0.175373559,-0.099353378,-0.036642641,61.28025,-0.019254611,-0.542271604,-0.22455357,-0.011192141,0.315454542,0.05559,0.195033413,0.18535763,0.069904408,-0.000607651
1439,0.032428466,-0.312748673,-0.168869127,0.007982603,10.74715,-0.048473359,-0.131651441,-0.302086661,-0.020386006,0.266673305,0.01785,0.246635294,0,-0.036326133,-0.002750952
1440,0.032428466,-0.312748673,-0.168869127,0.007982603,10.74715,-0.048473359,-0.131651441,-0.302086661,-0.020386006,0.266559719,0.0332,0.620972353,0,-0.036326133,-0.001818549
1441,0.031498204,-0.40547355,-0.20712934,0.004030979,10.3284,-0.07690693,-0.059672458,-0.097170496,-0.019923325,0.258065366,0.00384,0.651870507,0,0.102654617,-0.001206099
1442,0.030643967,-0.255416029,-0.11350345,0.008584159,138.2355,-0.043616577,-0.085317226,-0.439212574,-0.017890651,0.334753084,0.05073,0.443916864,0,-0.427805225,-0.001231524
1443,0.030643967,-0.255416029,-0.11350345,0.008584159,138.2355,-0.043616577,-0.085317226,-0.439212574,-0.017890651,0.334604371,0.13978,0.281091187,0,-0.202143295,-0.001126902
